Site	Location	Zone	Position	Position.	Depth	MedSand	FineSand	Silt	Clay	Corg	BD	pH	Carbonate	Turbidity	Al	Fe	Mn	U
UP1-MP1EW	Böchingen	BTop	Top	1	0.05	4	5	73	16	2.11	1.4	6.8	1.85	7481	32.1	39.7	1.1	1.01
UP1-MP1NS	Böchingen	BTop	Top	1	0.05	4	5	73	16	2.11	1.3	6.8	1.85	9393	33.0	42.3	1.2	1.1
UP1-MP2EW	Böchingen	BTop	Top	1	0.2	4	6	72	17	1.05	1.5	6.8	2.03	11297	35.1	42.2	1.1	0.94
UP1-MP2NS	Böchingen	BTop	Top	1	0.2	4	6	72	17	1.05	1.5	6.8	2.03	7363	37.8	44.3	0.9	1.26
UP1-MP3EW	Böchingen	BTop	Top	1	0.38	5	6	72	16	0.92	1.5	7.1	2.04	7187	34.3	40.1	1.1	0.92
UP1-MP3NS	Böchingen	BTop	Top	1	0.38	5	6	72	16	0.92	1.4	7.1	2.04	7363	35.7	41.0	1.1	1.07
UP1-MP4EW	Böchingen	BTop	Top	1	0.47	3	5	77	15	0.49	1.4	7.2	2.3	9109	36.4	42.8	1.1	0.83
UP1-MP4NS	Böchingen	BTop	Top	1	0.47	3	5	77	15	0.49	1.5	7.2	2.3	8235	31.5	44.9	0.8	1.03
UP2-MP1EW	Böchingen	BMiddle	Middle	2	0.05	4	5	73	16	2.11	1.4	6.8	1.85	24302	35.2	43.1	1.2	1.05
UP2-MP1NS	Böchingen	BMiddle	Middle	2	0.05	4	5	73	16	2.11	1.3	6.8	1.85	25001	33.0	43.5	1.2	1.22
UP2-MP2EW	Böchingen	BMiddle	Middle	2	0.2	4	6	72	17	1.05	1.5	6.8	2.03	24951	33.5	43.8	1.3	1.02
UP2-MP2NS	Böchingen	BMiddle	Middle	2	0.2	4	6	72	17	1.05	1.5	6.8	2.03	21767	33.1	45.1	1.1	1.22
UP2-MP3EW	Böchingen	BMiddle	Middle	2	0.38	5	6	72	16	0.92	1.5	7.1	2.04	7173	30.3	42.5	1.2	1.22
UP2-MP3NS	Böchingen	BMiddle	Middle	2	0.38	5	6	72	16	0.92	1.4	7.1	2.04	8659	33.5	44.5	1.3	1.24
UP2-MP4EW	Böchingen	BMiddle	Middle	2	0.47	3	5	77	15	0.49	1.5	7.2	2.3	7543	32.9	43.5	1.3	1.15
UP2-MP4NS	Böchingen	BMiddle	Middle	2	0.47	3	5	77	15	0.49	1.5	7.2	2.3	9111	48.0	63.3	1.6	1.04
UP3-MP1EW	Böchingen	BBase1	Base	3	0.05	4	5	73	16	2.11	1.4	6.8	1.85	8317	28.9	41.0	1.3	0.93
UP3-MP1NS	Böchingen	BBase1	Base	3	0.05	4	5	73	16	2.11	1.4	6.8	1.85	8149	32.7	42.3	1.4	0.85
UP3A	Böchingen	BBase2	Base	4	0.05	4	5	73	16	2.11	1.4	6.8	1.85	4147	33.7	41.8	1.2	1
UP4-MP1EW	Edenkoben	ETop	Top	1	0.05	30	18	37	12	2.05	1.5	5.7	0.03	5011	20.1	23.8	0.6	0.76
